task,accuracy,unknown_rate,rouge1,rouge2,rougeL,rougeLsum
sentiment,0.8345633456334564,0.0,,,,
topic,0.41907692307692307,0.0,,,,
selected,,,0.4258556380172004,0.36823661562557486,0.42039054472736426,0.4196362091078166
