K,fold,train_n,val_n,test_n,eval_loss,eval_accuracy,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_seconds,test_seconds
1,1,1040,260,325,0.10558246076107025,0.9784615384615385,0.9625088577973335,0.9657793414763675,0.9593152657763813,20.0909,16.176,1.045,3.0,957.0669949054718,20.099289894104004
3,1,866,434,325,0.150031179189682,0.9661538461538461,0.938469217397291,0.9636363636363636,0.9173212882953652,44.4983,7.304,0.472,3.0,916.1222679615021,44.52681922912598
3,2,867,433,325,0.09769745916128159,0.9784615384615385,0.9625088577973335,0.9657793414763675,0.9593152657763813,21.4973,15.118,0.977,3.0,845.215824842453,21.499556064605713
3,3,867,433,325,0.12177211046218872,0.9753846153846154,0.9568507700477961,0.9634680134680135,0.9505433359518198,30.3484,10.709,0.692,3.0,970.1629428863525,30.387423038482666
