K,eval_accuracy,eval_accuracy,eval_f1_macro,eval_f1_macro,eval_precision_macro,eval_precision_macro,eval_recall_macro,eval_recall_macro,train_seconds,train_seconds,test_seconds,test_seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.9784615384615385,,0.9625088577973335,,0.9657793414763675,,0.9593152657763813,,957.0669949054718,,20.099289894104004,
3,0.9733333333333333,0.006405126152203504,0.9526096150808069,0.012568477403064859,0.9642945728602482,0.0012885995605134391,0.942393296674522,0.0221515437686664,910.5003452301025,62.66298818495182,32.137932777404785,11.613006736912014
