K,fold,train_n,val_n,test_n,eval_loss,eval_accuracy,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_seconds,test_seconds
1,1,1040,260,325,0.09423614293336868,0.9723076923076923,0.9530956848030019,0.9443396226415095,0.9624901806755695,13.9742,23.257,1.503,3.0,952.9731619358063,13.980458974838257
3,1,866,434,325,0.07868312299251556,0.9753846153846154,0.9591194968553459,0.9425360474978796,0.9781683686829012,13.7701,23.602,1.525,3.0,491.3636691570282,13.772868871688843
3,2,867,433,325,0.052962835878133774,0.9815384615384616,0.9685199535063929,0.9623422964190136,0.974993453783713,13.6214,23.859,1.542,3.0,469.7105119228363,13.624380350112915
3,3,867,433,325,0.08495016396045685,0.9753846153846154,0.9585828979227731,0.9470317933432688,0.9712621105001309,15.0476,21.598,1.396,3.0,478.2932131290436,15.053522109985352
