K,eval_accuracy,eval_accuracy,eval_f1_macro,eval_f1_macro,eval_precision_macro,eval_precision_macro,eval_recall_macro,eval_recall_macro,train_seconds,train_seconds,test_seconds,test_seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.9723076923076923,,0.9530956848030019,,0.9443396226415095,,0.9624901806755695,,952.9731619358063,,13.980458974838257,
3,0.9774358974358974,0.003552924733474625,0.9620741160948373,0.005588702850909759,0.950636712420054,0.010383566595544496,0.9748079776555817,0.0034568629662383864,479.78913140296936,10.903812781034807,14.150257110595703,0.7857658395487408
