K,fold,train_n,val_n,test_n,eval_loss,eval_accuracy,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_seconds,test_seconds
1,1,1040,260,325,0.079185873,0.9815384615384616,0.9676380775358471,0.9744107744107744,0.9611809374181723,35.5113,9.152,0.591,3,1271.9744608402252,35.548938035964966
3,1,866,434,325,0.084849089,0.9784615384615385,0.961974962,0.9722563892305589,0.9524090075936109,25.9953,12.502,0.808,3,1227.651295185089,26.030618906021118
3,2,867,433,325,0.044840004,0.9876923076923076,0.978425385,0.9853535353535354,0.9718185388845247,23.5184,13.819,0.893,3,1126.7284610271454,23.535505771636963
3,3,867,433,325,0.068855122,0.9876923076923076,0.978425385,0.9853535353535354,0.9718185388845247,23.5285,13.813,0.893,3,1128.6304230690002,23.55218195915222
