K,eval_accuracy,eval_accuracy,eval_f1_macro,eval_f1_macro,eval_precision_macro,eval_precision_macro,eval_recall_macro,eval_recall_macro,train_seconds,train_seconds,test_seconds,test_seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.9815384615384616,,0.9676380775358471,,0.9744107744107744,,0.9611809374181723,,1271.9744608402252,,35.548938035964966,
3,0.9846153846153847,0.005329387100211893,0.9729419106742526,0.009497656175586408,0.98098781997921,0.007561640839716359,0.9653486951208867,0.011206098115653524,1161.003393093745,57.72661002332649,24.372768878936768,1.4357644507492158
