K,eval_accuracy,eval_accuracy,eval_f1_macro,eval_f1_macro,eval_precision_macro,eval_precision_macro,eval_recall_macro,eval_recall_macro,train_seconds,train_seconds,test_seconds,test_seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.9846153846153847,,0.9735879723689558,,0.9703926126824228,,0.9768591254255041,,10455.27369093895,,211.05088877677917,
3,0.9825641025641025,0.004700077635852097,0.9697144298060681,0.007871081666047166,0.9735895655729702,0.016593503440440298,0.9664070000872829,0.00794525231376674,9183.693751573563,610.6118255954608,219.14598337809244,31.61126082831511
