K,fold,train_n,val_n,test_n,eval_loss,eval_accuracy,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_seconds,test_seconds
1,1,1040,260,325,0.04464481770992279,0.9846153846153847,0.9735879723689558,0.9703926126824228,0.9768591254255041,211.0342,1.54,0.194,3.0,10455.27369093895,211.05088877677917
3,1,866,434,325,0.05281843617558479,0.9784615384615385,0.9625088577973335,0.9657793414763675,0.9593152657763813,233.5346,1.392,0.176,3.0,9203.860555887222,233.56791520118713
3,2,867,433,325,0.023088067770004272,0.9876923076923076,0.9781144781144782,0.9926470588235294,0.9649122807017544,240.9569,1.349,0.17,3.0,8563.248344898224,240.97426199913025
3,3,867,433,325,0.023452064022421837,0.9815384615384616,0.9685199535063929,0.9623422964190136,0.974993453783713,182.86,1.777,0.224,3.0,9783.972353935242,182.89577293395996
