task,accuracy,unknown_rate,rouge1,rouge2,rougeL,rougeLsum
sentiment,0.9089790897908979,0.0,,,,
topic,0.9846153846153847,0.0,,,,
selected,,,0.9642107713860879,0.9433965193279339,0.9637777550083125,0.9638887926950936
